[TRACE] 18:03:19:249 SWAP/(3861:3861): Pag: 78, Estado: 0
[TRACE] 18:03:19:257 SWAP/(3861:3861): Pag: 79, Estado: 0
[TRACE] 18:03:19:257 SWAP/(3861:3861): Pag: 80, Estado: 0
[TRACE] 18:03:19:257 SWAP/(3861:3861): Pag: 81, Estado: 0
[TRACE] 18:03:19:258 SWAP/(3861:3861): Pag: 82, Estado: 0
[TRACE] 18:03:19:258 SWAP/(3861:3861): Pag: 83, Estado: 0
[TRACE] 18:03:19:258 SWAP/(3861:3861): Pag: 84, Estado: 0
[TRACE] 18:03:19:258 SWAP/(3861:3861): Pag: 85, Estado: 0
[TRACE] 18:03:19:258 SWAP/(3861:3861): Pag: 86, Estado: 0
[TRACE] 18:03:19:259 SWAP/(3861:3861): Pag: 87, Estado: 0
[TRACE] 18:03:19:259 SWAP/(3861:3861): Pag: 88, Estado: 0
[TRACE] 18:03:19:259 SWAP/(3861:3861): Pag: 89, Estado: 0
[TRACE] 18:03:19:259 SWAP/(3861:3861): Pag: 90, Estado: 0
[TRACE] 18:03:19:259 SWAP/(3861:3861): Pag: 91, Estado: 0
[TRACE] 18:03:19:260 SWAP/(3861:3861): Pag: 92, Estado: 0
[TRACE] 18:03:19:273 SWAP/(3861:3861): Pag: 93, Estado: 0
[TRACE] 18:03:19:273 SWAP/(3861:3861): Pag: 94, Estado: 0
[TRACE] 18:03:19:273 SWAP/(3861:3861): Pag: 95, Estado: 0
[TRACE] 18:03:19:273 SWAP/(3861:3861): Pag: 96, Estado: 0
[TRACE] 18:03:19:274 SWAP/(3861:3861): Pag: 97, Estado: 0
[TRACE] 18:03:19:274 SWAP/(3861:3861): Pag: 98, Estado: 0
[TRACE] 18:03:19:274 SWAP/(3861:3861): Pag: 99, Estado: 0
[TRACE] 18:03:38:207 SWAP/(3861:3861): Pag: 0, Estado: 1
[TRACE] 18:03:38:209 SWAP/(3861:3861): Pag: 1, Estado: 1
[TRACE] 18:03:38:209 SWAP/(3861:3861): Pag: 2, Estado: 1
[TRACE] 18:03:38:210 SWAP/(3861:3861): Pag: 3, Estado: 1
[TRACE] 18:03:38:210 SWAP/(3861:3861): Pag: 4, Estado: 1
[TRACE] 18:03:38:210 SWAP/(3861:3861): Pag: 5, Estado: 1
[TRACE] 18:03:38:210 SWAP/(3861:3861): Pag: 6, Estado: 0
[TRACE] 18:03:38:210 SWAP/(3861:3861): Pag: 7, Estado: 0
[TRACE] 18:03:38:211 SWAP/(3861:3861): Pag: 8, Estado: 0
[TRACE] 18:03:38:223 SWAP/(3861:3861): Pag: 9, Estado: 0
[TRACE] 18:03:38:223 SWAP/(3861:3861): Pag: 10, Estado: 0
[TRACE] 18:03:38:223 SWAP/(3861:3861): Pag: 11, Estado: 0
[TRACE] 18:03:38:224 SWAP/(3861:3861): Pag: 12, Estado: 0
[TRACE] 18:03:38:224 SWAP/(3861:3861): Pag: 13, Estado: 0
[TRACE] 18:03:38:224 SWAP/(3861:3861): Pag: 14, Estado: 0
[TRACE] 18:03:38:224 SWAP/(3861:3861): Pag: 15, Estado: 0
[TRACE] 18:03:38:225 SWAP/(3861:3861): Pag: 16, Estado: 0
[TRACE] 18:03:38:225 SWAP/(3861:3861): Pag: 17, Estado: 0
[TRACE] 18:03:38:225 SWAP/(3861:3861): Pag: 18, Estado: 0
[TRACE] 18:03:38:225 SWAP/(3861:3861): Pag: 19, Estado: 0
[TRACE] 18:03:38:225 SWAP/(3861:3861): Pag: 20, Estado: 0
[TRACE] 18:03:38:226 SWAP/(3861:3861): Pag: 21, Estado: 0
[TRACE] 18:03:38:226 SWAP/(3861:3861): Pag: 22, Estado: 0
